id,user_id,tipo,titulo,clase,imagen,informacion,numero_pagina,autor,leida,created_at,updated_at
,1,mora,"Esta es la fruta que estimula el deseo sexual, protege el corazón, combate el colesterol y el envejecimiento","Mora beneficios",http://localhost:8000/storage/noticias/1751913840_686c157085aed.png,"Este alimento estimula el flujo sanguíneo y la sensibilidad íntima, ofreciendo una alternativa natural y gradual para quienes buscan mejorar su energía sexual sin recurrir a fármacos. En tiempos donde la alimentación funcional gana protagonismo, algunos frutos silvestres han dejado de ser simples acompañamientos para convertirse en potentes aliados de la salud integral.  Entre ellos, la mora destaca por su capacidad para revitalizar el organismo desde adentro. Esta fruta de temporada, popular en jugos, postres o directamente al natural, guarda un perfil nutricional que sorprende: no solo mejora la circulación, sino que también impulsa el deseo sexual, retrasa los signos del envejecimiento celular y favorece la salud cardiovascular.  Su combinación de vitaminas, minerales y antioxidantes la posiciona como una de las joyas más potentes del reino vegetal.  La mora contiene componentes activos que estimulan el flujo sanguíneo, un factor clave en la respuesta sexual tanto masculina como femenina. Esta fruta promueve la liberación de óxido nítrico, un vasodilatador natural que facilita la irrigación en las zonas íntimas y potencia la sensibilidad. A diferencia de soluciones farmacológicas, su efecto es gradual y sostenido, lo que convierte a la mora en una opción confiable y sin efectos adversos.  Los expertos en nutrición la recomiendan como parte de una dieta que busque revitalizar la energía sexual de manera natural. Combinada con otros alimentos ricos en zinc, como las nueces o las semillas, puede potenciar aún más su acción. Además, su consumo regular ayuda a reducir los niveles de estrés oxidativo, uno de los factores que más interfieren con la libido en personas adultas.  Los signos del paso del tiempo no solo se reflejan en la piel, sino también en la salud de órganos y tejidos. En ese frente, la mora actúa como una barrera antioxidante gracias a su abundancia en antocianinas, flavonoides y vitamina C. Estas sustancias ayudan a proteger las células del daño provocado por los radicales libres, responsables del envejecimiento prematuro.  Además, su aporte de vitamina A y E favorece la regeneración celular y la elasticidad cutánea. Las moras también mejoran la producción natural de colágeno, proteína clave para la firmeza de la piel. El consumo frecuente de esta fruta puede reflejarse en una piel más luminosa, una menor aparición de arrugas y una mayor vitalidad general, especialmente si se integra como parte de una dieta variada rica en frutas y vegetales frescos.  Más allá de su efecto en la piel o la sexualidad, las moras también tienen beneficios cardiovasculares y neurológicos. Contienen altos niveles de fibra soluble, lo que ayuda a reducir el colesterol malo (LDL) y mejora la circulación arterial. Asimismo, sus polifenoles actúan como protectores del sistema vascular, ayudando a mantener una presión arterial equilibrada.  En el plano cognitivo, los antioxidantes de la mora tienen un efecto neuroprotector. Estudios indican que su consumo puede mejorar la memoria a corto plazo y reducir la inflamación cerebral.  Esto convierte a la mora en un alimento valioso para personas de edad avanzada o para quienes desean mantener su agudeza mental en óptimas condiciones. Su bajo índice glucémico también la hace ideal para personas con resistencia a la insulina o diabetes tipo 2.  Las moras pueden consumirse frescas, deshidratadas o en forma de jugo natural. Una de las formas más recomendadas es incluirlas en el desayuno, acompañando yogures naturales o avena. También se pueden utilizar en batidos verdes junto con espinaca, plátano y semillas de chía, potenciando su efecto antioxidante y energético.  En la repostería saludable, las moras se integran bien en recetas sin azúcar, como muffins integrales o barras de cereal caseras. Para quienes buscan una merienda rápida y nutritiva, un puñado de moras con almendras o nueces puede aportar saciedad y energía sostenida.  Es importante priorizar las versiones naturales y evitar los productos industrializados que contengan azúcares añadidos. Las moras congeladas también conservan gran parte de sus propiedades y resultan una opción accesible durante todo el año.",1,"Cultiva Sena",,"2025-07-07 13:44:00","2025-07-07 13:44:00"
,1,mora,"Mora, sus propiedades mas importantes.","Propiedades nutritivas de la mora",http://localhost:8000/storage/noticias/1751913886_686c159e3b9d2.png,"Propiedades nutritivas Estas frutas son de bajo valor calórico por su escaso aporte de hidratos de carbono. Son especialmente ricas en vitamina C las grosellas negras y las rojas, que tienen cantidades mayores que algunos cítricos, y vitamina E En general, las bayas silvestres son buena fuente de fibra. Lo que contribuye a mejorar el tránsito intestinal, y de potasio. En menor proporción, magnesio, hierro y calcio (estos dos últimos de peor aprovechamiento que los procedentes de alimentos de origen animal), taninos de acción astringente y de diversos ácidos orgánicos. Sin embargo, lo que en realidad caracteriza a estas frutas es su abundancia de pigmentos naturales (antocianos y carotenoides) de acción antioxidante.",2,"Cultiva Sena",,"2025-07-07 13:44:46","2025-07-07 13:44:46"
,1,mora,"¿Cuales son los compuestos que se derivan de la mora?",Científico,http://localhost:8000/storage/noticias/1751913923_686c15c3a0a4c.png,"La mora es abundante en compuestos fenólicos, principalmente antocianina, un poderoso antioxidante, responsable del color oscuro de esta fruta, y ácido elágico, que ayuda a prevenir la inflamación y el deterioro celular.  Ambos compuestos antioxidantes trabajan en conjunto, reduciendo la proliferación de radicales libres que aceleran el estrés oxidativo en las células, previniendo mutaciones y enfermedades degenerativas. Este mecanismo de acción no solo mejora la respuesta inmune contra las enfermedades, sino que también ha mostrado efectos neuroprotectores.  Además, la presencia de taninos es responsable de las propiedades astringentes de las moras, que ayudan en el tratamiento de la diarrea y normalizan las funciones digestivas. El acai y el arándano rojo también poseen propiedades antioxidantes, mientras que el tomate y la piña proporcionan similares beneficios antiinflamatorios.",3,"Cultiva Sena",,"2025-07-07 13:45:23","2025-07-07 13:45:23"
,1,mora,"Vino de mora, ¿es bueno para la salud?",Informativo,http://localhost:8000/storage/noticias/1751914005_686c1615039f8.png,"Según un estudio de la universidad de Illinois, el vino de mora contiene Bioactivos útiles para combatir la diabetes y regular el azúcar en la sangre, esto es porque sus componentes inhiben las enzimas alfa-amilasa y alfa-glucosidasa, esto permite regular efectivamente la actividad pancreática con respecto a la producción de insulina y por tanto, en la regulación de azúcar. En este estudio se probaron múltiples vinos de distintas frutas y el vino de arándano y de mora resultaron los mas eficientes para este fin. Este vino se desarrolla eliminando el alcohol natural que se da en la fermentación de la fruta y resultando en una bebida muy sabrosa para la persona con diabetes, cuyos componentes Bioactivos combaten las enzimas responsables de ciertas inflamaciones y de la producción deficiente de insulina que se traduce en descontrol del azúcar en la sangre.",4,"Cultiva Sena",,"2025-07-07 13:46:45","2025-07-07 13:46:45"
,1,mora,"Alteraciones gastrointestinales:",Científico,http://localhost:8000/storage/noticias/1751914039_686c1637ead1b.png,"Las moras y sus derivados pueden provocar indigestión, náuseas, diarrea e hinchazón. En un estudio, los pacientes que tomaron comprimidos de hojas de morera para tratar la dislipidemia experimentaron diarrea leve, mareos o estreñimiento e hinchazón. Además, el látex, que es esa savia blanca lechosa de las moras es tóxico, especialmente para los insectos y las orugas. Esta sustancia puede causar una leve irritación de la piel en los seres humanos. Y como es obvio, no se recomienda ingerirlo porque puede causar dolor de estómago, hinchazón y diarrea.",5,"Cultiva Sena",1,"2025-07-07 13:47:19","2025-07-11 11:01:31"
,1,mora,"Moras: 10 beneficios y cómo consumir (con recetas)","Mora beneficios",http://localhost:8000/storage/noticias/1751914066_686c16529ebd6.png,"10 beneficios de la mora Algunos beneficios de la salud de las moras son:      1. Facilitar la pérdida de peso: La mora es una fruta de bajo índice glucémico debido a sus excelentes cantidades de fibra, lo que ayuda a prolongar la sensación de saciedad y a reducir el apetito entre comidas, lo que facilita la pérdida de peso.      2. Prevenir enfermedades cardiovasculares: Tanto la fruta como la hoja de la mora son ricas en ácidos fenólicos, carotenoides, flavonoides y antocianinas, compuestos bioactivos con propiedades antiinflamatorias que contribuyen a mantener la salud de las arterias, previniendo enfermedades como el infarto y la hipertensión. La mora también posee antioxidantes que protegen contra la oxidación de las células grasas, equilibrando los niveles de colesterol ""malo"", el LDL, y los triglicéridos en la sangre, previniendo la aterosclerosis y el derrame cerebral.      3. Prevenir la diabetes: Debido a su alto contenido de fibra, la mora tiene un bajo índice glucémico, lo que ayuda a equilibrar los niveles de glucosa en sangre, previniendo la resistencia a la insulina y la diabetes.      4. Prevenir el envejecimiento prematuro: La mora es rica en flavonoides, antocianinas y ácidos fenólicos, compuestos bioactivos con acción antioxidante que combaten los radicales libres responsables del daño en la piel, previniendo la flacidez y las arrugas.      5. Ayudar en el tratamiento de la diarrea: La mora, especialmente sus hojas, contiene flavonoides, taninos, saponinas y glucósidos, compuestos bioactivos con propiedades antiinflamatorias y astringentes que alivian la inflamación intestinal, ayudando en el tratamiento de la diarrea.      6. Combatir el estreñimiento: La mora es una fruta rica en fibras solubles e insolubles que aumentan el volumen de las heces y mejoran los movimientos naturales del intestino, ayudando a combatir el estreñimiento.      7. Prevenir el cáncer: El fruto y las hojas de la mora ayudan a prevenir el cáncer, ya que contienen antioxidantes que combaten los radicales libres, evitando el desarrollo y la multiplicación de células cancerosas, y fortalecen la inmunidad, reduciendo el riesgo de ciertos tipos de cáncer como el de esófago, útero y mama.      8. Ayudar en el tratamiento de infecciones: La mora contiene altos niveles de compuestos con propiedades antimicrobianas y antiinflamatorias, como antocianinas, taninos y carotenoides, que fortalecen el sistema inmunológico y ayudan en la prevención y tratamiento de infecciones como dolor de garganta, aftas y gingivitis.      9. Mantener la salud ocular: La mora mantiene la salud ocular debido a su contenido de luteína y zeaxantina, carotenoides que protegen los ojos contra los rayos ultravioleta del sol y la luz azul de dispositivos electrónicos, previniendo la degeneración macular relacionada con la edad.      10. Prevenir la osteoporosis: La mora ayuda a prevenir la osteoporosis al ser rica en vitamina K, necesaria para la fijación de calcio en los huesos, lo que es fundamental para mantener la salud ósea en la edad adulta.",6,"Cultiva Sena",,"2025-07-07 13:47:46","2025-07-07 13:47:46"
,1,mora,"¿Consumir moras aumenta el nivel de azúcar en la sangre?",Científico,http://localhost:8000/storage/noticias/1751914093_686c166d14d39.png,"No afirma la ciencia, el consumir moras no aumentara el nivel de azucar que una persona sana o diabetica tinene en su sangre, la razon es que las azucares que contiene la mora, como el resto de sus componentes se diluyen en la sangre con tanta lentitud que son imperceptibles en el nivel de glucosa, ademas, las moras tienen presencia de pteroestiblenos que han demostrado ser utiles para regular el azucar en la sangre.",7,"Cultiva Sena",1,"2025-07-07 13:48:13","2025-07-11 11:01:32"
,1,mora,"¿Una persona diabetica puede consumir moras?",Científico,http://localhost:8000/storage/noticias/1751914113_686c16812cd28.png,"Si, de hecho su ingesta esta recomendada para personas diabetes por su gran cantidad de nutrientes y antioxidantes, de hecho las bayas en general tienen esta característica, son bajas en azúcar por lo que pueden ingerirse tranquilamente sin necesidad de reparar en los niveles de azúcar, igualmente son recomendadas ingerirse como postre cuando se han tenido comidas que contiene grandes cantidades de azúcar e hidratos de carbono, esto podría hacer un efecto que contrarreste el pico de azúcar en la diabetes y detenga sus efectos negativos. La cantidad recomendada es una taza de zarzamoras en el día, la razón es que las moras son frutas pequeñas y fácilmente podría llenarse una taza y comerse como snack, esta taza podría distribuirse entre varias comidas o simplemente consumirse en una merienda, sin embargo, recomendable que cada persona consulte a su medico sobre si seria mas recomendable ingerir en mayor cantidad o menor.",8,"Cultiva Sena",1,"2025-07-07 13:48:33","2025-07-11 11:01:33"
,1,mora,"Beneficios de las moras:",Informativo,http://localhost:8000/storage/noticias/1751914144_686c16a04e07d.png,"La mora es una fruta que puede ayudar en el tratamiento y prevención de enfermedades, como la diabetes, infarto, aterosclerosis y presión arterial alta, debido a su alto contenido de antocianinas, ácido elágico y taninos con propiedades antiinflamatorias y antioxidantes.  Existen diferentes tipos de esta fruta, como la mora negra (Morus nigra L.) o mora blanca (Morus alba L.) El color de esta fruta varía según la cantidad de compuestos fenólicos, donde la mora negra contiene más antocianinas, mientras que la blanca tiene un mayor contenido de ácido elágico.  La mora generalmente se encuentra en ferias o supermercados y puede consumirse fresca o agregarse en la preparación de mousses, mermeladas y jugos. Por otro lado, las hojas, raíces y tallos pueden usarse en la preparación de tés o cataplasmas.      1. Facilitar la pérdida de peso:      2. Prevenir enfermedades cardiovasculares:      3. Prevenir la diabetes:      4. Prevenir el envejecimiento prematuro:      5. Ayudar en el tratamiento de la diarrea:      6. Combatir el estreñimiento:      7. Prevenir el cáncer:      8. Ayudar en el tratamiento de infecciones:      9. Mantener la salud ocular:      10. Prevenir la osteoporosis:",9,"Cultiva Sena",1,"2025-07-07 13:49:04","2025-07-11 11:01:35"
,1,mora,"¿Qué efectos tiene el licuado de avena con moras? Es bueno para el corazón.",Ciencia,http://localhost:8000/storage/noticias/1751914170_686c16ba39e9a.png,"Un estudio presentado por Cleveland Clinic analizó los efectos de los suplementos alimenticios de la antocianina, componente presente en la mora, y descubrió que los participantes tuvieron niveles más bajos de colesterol malo. Además, el hecho de que las moras son ricas en fibra también ayuda, ya que la dietista registrada Julia Zumpano agrega para el portal: “la mayoría de las personas no consumen suficiente fibra en su dieta, lo que puede aumentar el riesgo de sufrir enfermedades cardíacas”.  Healthline agrega que algunos estudios han encontrado que la avena puede aumentar la liberación de bilis, lo que posiblemente ayuda a reducir los niveles de colesterol en la sangre. Controlar el colesterol es una de las medidas para mantener un corazón sano; sin embargo, se necesitan más estudios sobre los efectos de la avena y de la mora en el organismo para poder demostrar este efecto.",10,"Cultiva Sena",1,"2025-07-07 13:49:30","2025-07-11 11:01:36"
